"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD"
"415","LPL","Thyroid","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
"416","LPL","Progesterone","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
"417","LPL","PPAR","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
"418","LPL","Corticoid","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
"419","LPL","Estrogen","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
"420","LSM10","Progesterone","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO"
"421","LSM10","Thyroid","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO"
"422","LSM10","Estrogen","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO"
"423","LSM10","Corticoid","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO"
"424","LSM10","Androgen","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO"
"425","LUM","Thyroid","DEG",-0.507439692338041,-1.44119271180729,0.00153913915653368,"NO"
"426","LUM","Progesterone","DEG",-0.507439692338041,-1.44119271180729,0.00153913915653368,"NO"
"427","LUM","Androgen","DEG",-0.507439692338041,-1.44119271180729,0.00153913915653368,"NO"
"430","MAP1S","Thyroid","DEG",0.476834332563447,0.616833086919475,0.000528217557308281,"NO"
"431","MAP3K5","Retinoic","DEG",-0.00902271615123331,-0.541480651294212,0.00300018337996996,"NO"
"432","MAP3K5","Thyroid","DEG",-0.00902271615123331,-0.541480651294212,0.00300018337996996,"NO"
"433","MAP3K5","Estrogen","DEG",-0.00902271615123331,-0.541480651294212,0.00300018337996996,"NO"
"434","MAP3K5","Corticoid","DEG",-0.00902271615123331,-0.541480651294212,0.00300018337996996,"NO"
"435","MEF2C","Corticoid","PsychencodeTF",-0.0244277564561738,-0.319869370338206,0.0391610670511797,"YES"
"436","MEF2C","Thyroid","PsychencodeTF",-0.0244277564561738,-0.319869370338206,0.0391610670511797,"YES"
"437","METRN","Retinoic","DEG",0.644241602191328,0.549340339271685,0.0108409002069748,"NO"
"438","METRN","Thyroid","DEG",0.644241602191328,0.549340339271685,0.0108409002069748,"NO"
"439","METRN","Estrogen","DEG",0.644241602191328,0.549340339271685,0.0108409002069748,"NO"
"440","MFAP2","Progesterone","DEG",0.366644891915329,0.122791262673627,0.0105860303172066,"NO"
"441","MFAP2","PPAR","DEG",0.366644891915329,0.122791262673627,0.0105860303172066,"NO"
"442","MFAP2","Estrogen","DEG",0.366644891915329,0.122791262673627,0.0105860303172066,"NO"
"443","MGP","Thyroid","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"444","MGP","Androgen","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"445","MGP","Retinoic","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"446","MGP","Progesterone","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"447","MGP","Estrogen","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"448","MGP","PPAR","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO"
"454","MPZ","Thyroid","DEG",-0.762347736914744,-1.0897938427189,0.0109526060459043,"NO"
"455","MRPL12","Progesterone","DEG",0.515096073802244,0.85462463736436,0.0178394968256398,"NO"
"456","MRPL12","Thyroid","DEG",0.515096073802244,0.85462463736436,0.0178394968256398,"NO"
"458","MUSTN1","Thyroid","DEG",-0.557644309390601,-0.727518748633478,0.0179184188756097,"NO"
"459","MYO7A","Thyroid","DEG",-0.639576287784323,-0.157307059749421,0.0124512358627232,"NO"
"460","MYRF","Retinoic","DEG",-0.286073128108582,-0.571688493994786,0.0156743915663263,"NO"
"461","MYRF","Progesterone","DEG",-0.286073128108582,-0.571688493994786,0.0156743915663263,"NO"
"462","MYRF","PPAR","DEG",-0.286073128108582,-0.571688493994786,0.0156743915663263,"NO"
"463","MYRF","Estrogen","DEG",-0.286073128108582,-0.571688493994786,0.0156743915663263,"NO"
"464","MZT2B","Thyroid","DEG",0.428369162797042,0.505957356835784,0.0167112104566836,"NO"
