"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"211","CYP2D7","Thyroid","DEG",-0.416169292438954,-0.663853249972647,0.0374287578199318
"212","CYP3A5","Estrogen","DEG",-0.463904334362745,-0.993190361456499,0.0027106928549217
"213","CYP3A5","Retinoic","DEG",-0.463904334362745,-0.993190361456499,0.0027106928549217
"214","CYP3A5","Thyroid","DEG",-0.463904334362745,-0.993190361456499,0.0027106928549217
"215","DAAM2","Thyroid","DEG",-0.22065612733336,-0.648890342313847,0.0102386981404904
"216","DCN","Thyroid","DEG",-0.188022171899347,-1.27122583957837,0.00610575121046428
"217","DCN","PPAR","DEG",-0.188022171899347,-1.27122583957837,0.00610575121046428
"218","DCN","Estrogen","DEG",-0.188022171899347,-1.27122583957837,0.00610575121046428
"219","DDIT4L","Androgen","DEG",0.716754079749823,0.587743144162443,0.00610575121046428
"220","DDIT4L","Thyroid","DEG",0.716754079749823,0.587743144162443,0.00610575121046428
"221","DES","Thyroid","DEG",-0.0709773395562318,-0.749341118793084,0.0297055929586817
"222","DES","Progesterone","DEG",-0.0709773395562318,-0.749341118793084,0.0297055929586817
"223","DHRS2","Retinoic","DEG",0.0642907879822127,-0.609808461414797,0.0354105101310009
"224","DHRS2","Estrogen","DEG",0.0642907879822127,-0.609808461414797,0.0354105101310009
"225","DHRS3","Retinoic","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"226","DHRS3","Thyroid","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"227","DHRS3","Androgen","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"228","DHRS3","PPAR","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"229","DHRS3","Corticoid","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"230","DHRS3","Estrogen","DEG",0.25487083094795,0.372416546374109,0.477315057749053
"231","DKK1","Estrogen","DEG",-0.526828026118269,-1.11058230311558,0.0239090755665099
"232","DKK1","Retinoic","DEG",-0.526828026118269,-1.11058230311558,0.0239090755665099
"233","DKKL1","Retinoic","DEG",0.202259340288256,0.553302818779032,0.0198513466710138
"234","DKKL1","Androgen","DEG",0.202259340288256,0.553302818779032,0.0198513466710138
"235","DKKL1","Progesterone","DEG",0.202259340288256,0.553302818779032,0.0198513466710138
"236","DMRT3","Androgen","DEG",0.0533657487056807,1.00412269650762,0.0377572934650956
"237","DMRT3","Estrogen","DEG",0.0533657487056807,1.00412269650762,0.0377572934650956
"238","DNAJA4","PPAR","DEG",0.00813750611144551,-0.684412559635187,0.0184804085793337
"239","DNAJA4","Estrogen","DEG",0.00813750611144551,-0.684412559635187,0.0184804085793337
"240","DNAJA4","Thyroid","DEG",0.00813750611144551,-0.684412559635187,0.0184804085793337
"241","DNM3OS","Progesterone","DEG",-0.650637518147545,-1.12271818090213,0.00446470312361637
"242","DPF3","Thyroid","DEG",-0.312849811682775,-0.896524761335032,0.0101344038510078
"243","DPYD","Estrogen","DEG",-0.419650915779804,-0.591270834998584,0.00525812971900212
"244","DPYD","Thyroid","DEG",-0.419650915779804,-0.591270834998584,0.00525812971900212
"245","DRD2","Thyroid","DEG",0.170673560788749,-0.657846670591523,0.0147116784345164
"246","E2F1","Thyroid","PsychencodeTF",0.162212418032872,0.125159461231607,0.631994016723859
"247","E2F1","Estrogen","PsychencodeTF",0.162212418032872,0.125159461231607,0.631994016723859
"248","E2F1","PPAR","PsychencodeTF",0.162212418032872,0.125159461231607,0.631994016723859
"249","E2F3","Thyroid","PsychencodeTF",0.324620731855959,0.159544508015238,0.0299804833772516
"250","E2F8","Estrogen","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"251","E2F8","Thyroid","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"252","E2F8","Corticoid","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"253","E2F8","Retinoic","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"254","E2F8","Androgen","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"255","E2F8","PPAR","PsychencodeTF",0.00406820920523315,-0.00635577660336908,0.998178712046554
"256","EBF1","PPAR","PsychencodeTF&DEG",-0.0944789048831607,-0.594415264694554,0.0034617692200074
"257","EBF1","Progesterone","PsychencodeTF&DEG",-0.0944789048831607,-0.594415264694554,0.0034617692200074
"258","EBLN2","Estrogen","DEG",-0.596544403519355,-0.566983175159947,0.00597289294055474
