"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"KIRREL3","KIRREL3","DEG",-0.0607707707788704,-0.514715235931321,0.0175908790360801,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"KLB","KLB","DEG",-0.35979964694198,-0.643872207045356,0.0277512629434646,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"KLF16","KLF16","PsychencodeTF",0.342305269040887,0.497622050627645,0.029454171053968,"YES","Thyroid","NO","NO","NO","NO","Retinoic","NO"
"KLF3","KLF3","PsychencodeTF",0.288672190367931,0.215940412477141,0.0274444007155934,"NO","NO","Estrogen","PPAR","NO","NO","NO","NO"
"KLF9","KLF9","PsychencodeTF",0.128777406954011,-0.395840239737478,0.0124797794290657,"NO","Thyroid","NO","NO","Progesterone","Androgen","NO","Corticoid"
"KRT18","KRT18","DEG",0.20628226706473,0.588369305254206,0.00106699356104667,"NO","Thyroid","Estrogen","NO","Progesterone","NO","NO","Corticoid"
"KRT8","KRT8","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","NO","Corticoid"
"LGALS1","LGALS1","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","NO"
"LGALS3","LGALS3","DEG",-0.128899387801997,0.609277304948183,0.00309263272499865,"NO","Thyroid","NO","PPAR","Progesterone","Androgen","NO","NO"
"LPL","LPL","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"LSM10","LSM10","DEG",0.480359842883233,0.940157242278284,0.0295274623508717,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","NO","Corticoid"
"LUM","LUM","DEG",-0.507439692338041,-1.44119271180729,0.00153913915653368,"NO","Thyroid","NO","PPAR","Progesterone","Androgen","NO","NO"
"MAP1S","MAP1S","DEG",0.476834332563447,0.616833086919475,0.000528217557308281,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"MAP3K5","MAP3K5","DEG",-0.00902271615123331,-0.541480651294212,0.00300018337996996,"NO","Thyroid","Estrogen","NO","NO","NO","Retinoic","Corticoid"
"MEF2C","MEF2C","PsychencodeTF",-0.0244277564561738,-0.319869370338206,0.0391610670511797,"YES","Thyroid","NO","PPAR","NO","NO","NO","Corticoid"
"METRN","METRN","DEG",0.644241602191328,0.549340339271685,0.0108409002069748,"NO","Thyroid","Estrogen","NO","NO","NO","Retinoic","NO"
"MFAP2","MFAP2","DEG",0.366644891915329,0.122791262673627,0.0105860303172066,"NO","NO","Estrogen","PPAR","Progesterone","NO","NO","NO"
"MGAT4C","MGAT4C","DEG",-0.102868831887314,-0.643309520058905,0.0239090755665099,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"MGP","MGP","DEG",-0.762739966870707,-1.62042704088065,0.0124797794290657,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","NO"
"MPZ","MPZ","DEG",-0.762347736914744,-1.0897938427189,0.0109526060459043,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"MRPL12","MRPL12","DEG",0.515096073802244,0.85462463736436,0.0178394968256398,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"MUSTN1","MUSTN1","DEG",-0.557644309390601,-0.727518748633478,0.0179184188756097,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"MYO7A","MYO7A","DEG",-0.639576287784323,-0.157307059749421,0.0124512358627232,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"MYRF","MYRF","DEG",-0.286073128108582,-0.571688493994786,0.0156743915663263,"NO","NO","Estrogen","PPAR","Progesterone","NO","Retinoic","NO"
"MZT2B","MZT2B","DEG",0.428369162797042,0.505957356835784,0.0167112104566836,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"NDUFS7","NDUFS7","DEG",0.416357230539055,0.600994596835162,0.0171057297040959,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
