"","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"IGSF21",0.48237729525361,0.603077124740883,0.0312095652520264
"ZFHX3",0.11892834211551,-0.163301911055503,0.0312195741289284
"PTHLH",0.0736118858267713,1.11414706083453,0.0312195741289284
"JUND",0.316855271225719,0.373091197321338,0.0313881338302605
"FABP7",-0.584771732860321,-0.217145373315048,0.0313881338302605
"THBS1",-0.558582022182618,-0.127540714333524,0.0316627215425681
"GPR82",-0.518135060839304,-0.807786095142643,0.0316776880399385
"LGALS1",-0.0146357910287754,-0.569204461557846,0.0320806560799287
"IFIT2",-0.487161413093792,-0.698108953642981,0.0322382009343235
"CLEC18B",-0.41455256866648,-0.701224822727199,0.032550269507185
"ATF5",-0.00799578200739643,0.386456761534288,0.0325992578694302
"POU4F2",0.395518794467662,-0.657705154528868,0.0326658420302039
"HMBOX1",-0.16766682765602,-0.244103744310247,0.0328401960770191
"BCO1",-0.117743368060145,0.549212553088567,0.0329167482637771
"CXCL12",0.0514153808071328,-0.610699101620344,0.0331414400810977
"IGDCC3",-0.408062350921549,-0.631381359620707,0.0334588216734366
"NR5A2",0.0928044130171977,-0.61992176564139,0.0335567144104761
"TFDP1",0.201508021636873,0.190510995788071,0.0337283180941395
"EPHA7",0.652159567277465,0.308450202761532,0.0337283180941395
"BMPER",-0.170773830641646,-1.00046712374517,0.0337769482573724
"SIDT1",-0.514667368632571,-0.899649779788102,0.0338330796217085
"HAP1",-0.600276670624907,-0.291344216268987,0.0343567908389117
"GAR1",0.528531735403872,0.648477841657875,0.034571319189588
"CCDC170",0.074931265651624,0.76570011117157,0.034593319586132
"DHRS2",0.0642907879822127,-0.609808461414797,0.0354105101310009
"NUDT13",-0.544551267113581,-0.527752483157113,0.0366384963034707
"TPGS1",1.31819098661005,1.24630695208178,0.0369402790372943
"RGS10",0.162154383242674,-0.896529874124937,0.0372087758138121
"GRHL1",-0.17600581694507,-0.348999837665927,0.0372722818935804
"CYP2D7",-0.416169292438954,-0.663853249972647,0.0374287578199318
"RMI2",0.505698979844483,0.136172371822889,0.0377572934650956
"DMRT3",0.0533657487056807,1.00412269650762,0.0377572934650956
"ACTN2",-0.454784701751081,-0.689801484576385,0.0378309269223369
